region,team name,games,wins,win percentage,score per game,goals per game,assists per game,saves per game,shots per game,shots conceded per game,goals conceded per game,shooting percentage,bpm per game,avg boost amount per game,amount collected per game,amount collected big pads per game,amount collected small pads per game,count collected big pads per game,count collected small pads per game,amount stolen per game,amount stolen big pads per game,amount stolen small pads per game,count stolen big pads per game,count stolen small pads per game,0 boost time per game,100 boost time per game,amount used while supersonic per game,amount overfill total per game,amount overfill stolen per game,total distance per game,time slow speed per game,time boost speed per game,time supersonic speed per game,time on ground per game,time low in air per game,time high in air per game,time powerslide per game,count powerslide per game,time behind ball per game,time in front of ball per game,time defensive half per game,time offensive half per game,time defensive third per game,time neutral third per game,time offensive third per game,avg distance to ball per game,avg distance to ball has possession per game,avg distance to ball no possession per game,demos inflicted per game,demos taken per game
North America,SPACESTATION,30,23,76.67,1152.1,2.27,1.8,4.47,9.07,7.1,1.5,25,1293.23,148.2,7824.53,5554.83,2269.7,66.83,196.4,1876.9,1154.97,721.93,13.5,62.27,147.94,123.72,1376.37,1168.63,197.77,1650762.88,454.41,431.15,205.29,601.96,409.83,79.05,25.45,247.83,796.49,294.36,683.28,407.57,495.61,355.4,239.84,8557.3,8232.27,8876.3,4.53,3.5
Europe,OXYGEN ESPORTS,42,32,76.19,1288.4,2.36,1.9,5.29,11.12,8.48,1.6,21.2,1250.21,145.31,8275.64,5554.86,2720.79,66.5,234.88,1956.88,1104.48,852.4,13.02,72.62,158.5,110.55,1200.6,1115.05,202.19,1800441.5,512.37,485.92,201.85,661.82,450.37,87.95,26.29,229.67,887.09,313.06,740.32,459.83,529.6,404.72,265.83,8500.88,8205.21,8766.76,3.21,2.98
North America,G2 ESPORTS,36,25,69.44,1129.28,2.39,1.78,3.75,10.17,6.67,1.69,23.5,1241.19,152.17,7542.28,5251.36,2290.92,64.69,198.14,2089.97,1262.67,827.31,15.44,71.67,114.77,128.02,1081.69,1266.67,292.56,1676902.25,448.8,445.35,203.72,601.93,422.56,73.39,25.43,254.25,798.25,299.62,652.53,445.35,464.36,367.65,265.88,8576.92,8232.36,8949.31,4.39,3.11
North America,FAZE CLAN,51,33,64.71,1252.37,2.67,2.22,4.88,9.51,7.82,1.76,28.04,1304.1,147.57,7810,5541.67,2268.33,67.33,192.82,1877.76,1162.8,714.96,13.98,60.61,139.24,133.55,1290.02,1233.31,248.31,1633238.12,446.83,430.86,203.39,598.31,408.49,74.29,22.78,210.76,787.42,293.66,682.23,398.86,503.71,343.58,233.79,8584.12,8214.24,8954.78,3.88,3.51
Europe,KARMINE CORP,51,32,62.75,1134.37,2.27,1.73,4.45,8.9,7.18,1.47,25.55,1258.2,145.1,7525.92,5315.45,2210.47,63.27,188.67,1655.39,965.31,690.08,11.39,57.73,142.91,118.13,989.98,1046.73,185.41,1595602.5,474.31,415.47,184.76,574.85,424.13,75.56,23.41,203.04,786.98,287.56,664.46,410.07,475.53,364.63,234.38,8283.41,8006.27,8541.24,2.47,2.71
North America,REBELLION,35,21,60,1061.43,1.71,1.26,4.69,8.17,7.8,1.49,20.98,1265.69,149.98,7437.37,5064.94,2372.43,63.31,207.51,1754.11,1026.83,727.29,12.46,63.17,105.12,115.9,1151.74,1299.46,226.86,1610181.25,438.01,431.42,187.94,597.96,386.98,72.43,25.69,255.09,768.22,289.16,659.23,398.14,476.78,349.16,231.44,9020.29,8649.89,9335.83,3.2,3.77
North America,GENGMOBIL1,58,34,58.62,1100.71,2.1,1.81,4.34,9.34,7.19,1.62,22.51,1247.31,152.76,7337.97,5182.07,2155.9,62.97,187.07,1600.19,948.59,651.6,11.45,56.31,116.5,130.57,1065.9,1155.38,197.31,1565287,471.73,420.68,169.25,582.32,404.13,75.22,20.8,206.29,772.96,288.71,668.17,393.49,482.65,350.99,228.03,8654.6,8285,9002.19,3.43,3.71
Europe,MOIST ESPORTS,41,24,58.54,1167,2.07,1.59,4.95,8.24,8.2,1.66,25.15,1272.17,142.99,8177.61,5619.66,2557.95,67.8,221.27,1863.78,1082.93,780.85,12.68,67.2,142.12,139.85,1305.63,1211.44,198.95,1730845.25,511.08,466.71,183.74,656.44,418.38,86.69,26.93,261.83,831.94,329.58,738.55,422.97,535.95,382.45,243.11,8319.61,8035.73,8577.76,3.41,3.39
Europe,EVIL GENIUSES,28,16,57.14,1185.39,1.89,1.54,5.21,8.93,8.57,1.61,21.2,1275.75,147.13,8276.04,5743.57,2532.46,69,216.64,1747.86,1007.61,740.25,11.64,61.71,152.22,117.37,1046.21,1181.82,157.54,1767349.62,520.77,475.4,192.5,636.87,471.76,80.04,29.39,293.43,879.38,309.29,764.54,424.13,558.3,384.4,245.96,8625.93,8358.04,8877.75,3.39,3.11
North America,COMPLEXITY,40,22,55,1164.35,2.35,1.95,4.4,9,7.35,1.7,26.11,1226.97,151.84,7751.48,5412,2339.48,68.12,204.9,1789.32,1066,723.33,12.98,62.7,115.16,141.95,1113.15,1432.05,245.12,1674128.12,512.03,439.31,184.05,631.36,418.9,85.13,22.99,191.73,827.56,307.82,711.7,423.69,516.1,379.04,240.24,8569.75,8265.53,8873.25,3.28,3.17
North America,VERSION1,40,22,55,1086.95,1.85,1.42,4.47,7.75,7.03,1.65,23.87,1194.07,141.41,7094.08,4594.6,2499.48,56.05,215.68,1593.6,905.05,688.55,10.85,59.95,114.99,107.18,1089.05,1030.75,181.12,1567730.75,509.82,416.56,157.98,601.79,403.02,79.54,19.67,194.2,798.67,285.68,710.72,373.64,519.56,347.69,217.1,8385.67,8084.85,8697.38,4.3,2.65
Europe,TEAM BDS,42,23,54.76,1230.67,1.86,1.55,5.67,9.57,8.76,1.83,19.4,1187.93,153.55,7914.07,5322.88,2591.19,63.69,224.81,1818.36,1018.79,799.57,12.14,69.19,115.12,131.31,1040.57,1058.81,198.86,1737968.75,553.04,467.4,170.3,676.97,425.46,88.32,22.25,189.36,886.36,304.39,742.85,447.89,545.43,387.87,257.45,8153.52,7795.4,8471.98,3.05,3.83
North America,NRG ESPORTS,48,26,54.17,1148.67,2,1.69,4.75,9.62,8.54,2.19,20.78,1209.9,152.12,7604.15,5447.52,2156.62,67.04,187.9,1564.21,945.21,619,11.12,53.81,103.51,138.8,1199.25,1299.38,164.02,1686163.5,500.08,437.14,198.89,647.33,409.22,79.56,23.66,251.67,845.64,290.48,737.73,398.38,540.39,367.23,228.49,8823.58,8456.44,9174.31,3.48,3.17
Europe,GAMERS FIRST,41,22,53.66,1208.51,1.9,1.54,5.59,8.46,8.98,1.83,22.48,1246.78,142.8,7825.73,5315.12,2510.61,63.17,216.12,1736.85,1029.93,706.93,12.1,60.59,143.67,97.69,1015.15,1003.63,175.54,1708953.5,498.71,455.82,193.61,606.85,460.91,80.38,25.74,238.59,841.58,306.56,758.27,389.87,565.61,361.38,221.15,8198.32,7892.02,8468.95,3.32,2.95
Europe,TOP BLOKES,53,28,52.83,1098.85,1.91,1.47,4.89,7.85,7.85,1.89,24.28,1145.3,137.2,6953.19,4561.74,2391.45,53.57,208.19,1515.08,786.32,728.75,9.13,63.02,145.53,129.09,786.3,820.83,128.94,1544354.25,538.35,412.16,140.68,618.41,399.25,73.53,24.91,216.3,789.49,301.7,705.24,385.95,512.05,363.17,215.98,8778.38,8535.87,9005.11,2.6,4.09
North America,DARKZERO,21,11,52.38,1084.33,1.81,1.33,5.48,7.67,8.38,1.95,23.6,1205.95,143.88,7277,4912.76,2364.24,59.81,204.05,1673.76,953.9,719.86,11.43,63.05,114.11,106.67,972.29,1050.33,178.1,1591068,503.85,420.83,166.6,619.55,400.67,71.04,21.45,188,771.72,319.55,692.08,399.18,506.04,353.52,231.71,8428.14,8045.38,8811.1,4,3.33
Europe,SOLARY,52,27,51.92,1141.13,1.73,1.31,5.73,7.85,8.9,1.69,22.06,1158.54,147.05,7009.52,4624.4,2385.12,57.33,209.96,1334.94,728.33,606.62,8.6,52.75,100.97,81.42,880.19,1107.94,132.35,1606945.5,495.88,441.06,158.92,602.27,426.34,67.25,28.97,284.06,828.88,266.98,750.96,344.9,565.95,339.81,190.11,8284.5,7955.58,8553.79,2.42,3.62
North America,FURIA,68,34,50,1182.03,2.21,1.84,4.94,10.04,8.25,2.1,21.96,1171.78,155.55,7229.29,4819.31,2409.99,60.57,215.15,1664.54,916.6,747.94,10.97,65.62,98.98,133.76,813.41,1302.26,189.41,1607797.25,502.1,434.52,166.56,627.12,398.06,77.99,17.76,135.93,790.14,313.03,694.25,408.93,501.34,366.33,235.51,8400.34,8036.12,8762.56,2.29,4.35
Europe,AOGIRI,42,21,50,1233.1,2.17,1.5,6.1,8.31,9.95,2.21,26.07,1255.74,143.11,7995.79,5530.83,2464.95,65.57,211.26,1730.05,993.02,737.02,11.71,62.79,150.22,107.54,1102.31,1039.43,174.83,1673769.88,530.04,455.85,170.63,631.02,446.49,79.01,25.6,229.38,839.46,317.06,751.09,405.43,562.13,356.57,237.83,8198.93,7819.95,8513.21,3.74,3.12
Europe,MONKEYS,40,20,50,1169.07,2.12,1.75,5.07,8.88,8.25,2.05,23.94,1238.05,141.48,7534.48,5233.45,2301.02,61.9,197.7,1682.57,992.12,690.45,11.45,59.55,129.79,140.7,1027.18,994.9,161.38,1610279,497.68,442.36,161.73,616.45,400.01,85.3,19.96,186.05,798,303.76,700.38,401.38,511.48,357.06,233.23,8437.75,8136.58,8726.5,3.3,3.75
Europe,QUADRANT,70,35,50,1087.69,1.74,1.34,4.73,8.66,7.6,1.61,20.13,1189.93,150.34,7150.56,5094.91,2055.64,63.71,178.59,1614,1012.66,601.34,11.83,51,126.6,131.91,904.64,1309.83,172.44,1600607.38,478.52,447.59,156.58,609.32,392.57,80.79,22.58,243.8,791.62,291.07,694.46,388.22,501.93,357.72,223.04,9112.81,8797.4,9403.21,2.96,3.3
Europe,SONIQS,58,28,48.28,1080.86,1.69,1.29,4.88,7.9,8.05,1.76,21.4,1207.57,158.78,7446.9,5156.71,2290.19,64.62,201.91,1771.47,1087.1,684.36,13.24,59.16,107.63,125.8,984.6,1349.48,245.1,1621218.12,491.29,441.8,169.11,609.69,412.34,80.17,19.87,221.62,793.79,308.41,713.2,388.99,522.52,357.49,222.2,8567.53,8232.34,8864.43,2.81,3.14
North America,TEAM AXLE,56,27,48.21,1122.25,1.91,1.54,5.14,7.95,8.54,1.79,24.04,1233.75,138.78,7491.73,5271.29,2220.45,61.43,189,1712.46,1028.61,683.86,11.93,58.05,162.73,101.19,1118.36,854.14,161.12,1613949.12,518.72,416.27,173.58,617.73,419.37,71.47,25.63,233.36,782.48,326.09,717.8,390.78,529.31,352.92,226.35,8329.7,7990.05,8631.32,3.98,3.41
Europe,OLD FARTS,23,11,47.83,1181.74,2.22,2.04,4.48,9.13,8.39,2.17,24.29,1148.35,146.23,7237.09,4583.3,2653.78,57.61,224.83,1716,906.96,809.04,11.13,68.87,113.11,119.27,791.61,1173.96,198.83,1613771.62,536.67,452.34,137.64,648.11,406.35,72.19,38.41,326.39,801.24,325.41,717.35,409.3,521.89,363.92,240.83,8551.52,8241.83,8828.35,2.39,3.65
Europe,TEAM LIQUID,42,20,47.62,1081.81,1.83,1.45,4.64,9.05,8.19,2.05,20.26,1371.29,142.97,8265.57,5773.19,2492.38,67.48,213.1,1866.21,1114.17,752.05,12.79,64.33,152.59,105.16,1349.5,993.19,164.62,1695973.5,434.01,437.68,227.42,584.63,426.61,87.88,24.02,243.76,777.81,321.3,680.52,418.58,489.54,364.06,245.51,8594.52,8212.86,8959.48,2.24,3.67
North America,KNIGHTS,36,17,47.22,1148.69,1.83,1.44,5.69,8.06,9.33,2,22.76,1242.33,149.54,7589.36,5270.72,2318.64,65.25,202.42,1720.14,1026.53,693.61,11.94,59.08,126.83,119.64,1310.89,1272.81,174.75,1647296.5,479.82,427.69,194.54,623.65,408.81,69.59,21.86,226.28,804.77,297.28,718.69,383.36,528.72,355.79,217.54,9062.78,8629.17,9449.72,2.78,4.36
North America,SCUZZ ESPORTS,20,9,45,1054.7,1.6,1.25,5.65,7.1,8.7,1.6,22.54,1207.9,140.66,6901.1,4734.45,2166.65,55.9,185.5,1606.75,963.7,643.05,10.85,54.8,143.09,104.2,1010.75,887,120.3,1491402.75,476.04,407.6,142.22,608.28,349.36,68.22,23.15,258.3,703.02,322.84,662.91,362.95,485.16,327.4,213.3,8477.15,8106.5,8808.05,3.35,2.75
North America,SOL,38,17,44.74,1142.26,1.66,1.16,5.87,7.68,9.45,1.89,21.58,1205.63,141.44,7321,4978,2343,60.74,197.45,1622.55,963.92,658.63,11.63,55.68,131.64,123.49,1034.71,1113.76,199.03,1609583.38,522.73,417.15,175.83,612.35,431.06,72.3,19.57,197.16,799.24,316.47,742.78,372.93,558.33,344.79,212.59,8489.03,8059.34,8858.5,2.97,3.92
Europe,WILLIAMS RESOLVE,47,21,44.68,1127.04,1.91,1.38,5.32,7.94,8.98,2.13,24.13,1273.34,142.29,7574.21,5147.28,2426.94,62.06,208.83,1655.6,952.64,702.96,11,59.64,138.88,100.07,1019.79,1073.23,149.98,1622546.88,456.58,441.2,184.18,584.71,424.37,72.88,30.27,295.19,781.71,300.25,711.05,370.91,520.08,350.19,211.69,8584.32,8297.38,8845.49,4.06,2
North America,DIGNITAS,36,16,44.44,1112.22,1.94,1.53,5.08,7.36,8.81,2.44,26.42,1289.89,149.31,7751.19,5345.53,2405.67,64.14,208.5,1614.97,958.31,656.67,11.17,56.86,133.19,75.32,1101.08,1032.06,163.39,1635141.5,463.57,446.96,183.74,589.48,433.58,71.19,29.53,311.89,794.1,300.16,733.25,361.01,542.59,350.4,201.28,8703.58,8258.83,9087.81,2.61,3.28
North America,ROGUE,27,12,44.44,1131.15,1.74,1.33,5.56,7.7,10.3,2.48,22.6,1223.22,140.16,7345,4927.11,2417.89,58.26,210.3,1539.85,845.56,694.3,9.67,61.41,145.36,112.31,978.11,923.56,127.67,1660661.38,461.96,454.37,188.67,585.18,437.88,81.93,19.22,174.7,773.51,331.49,719.75,385.25,530.47,351.62,222.91,8474.11,8203.96,8728.19,2.96,3.85
North America,OPTIC GAMING,41,18,43.9,1220.93,1.93,1.46,6.44,8.34,10.17,2.15,23.1,1298.29,142.15,8166.02,5751.32,2414.71,69.73,204.95,1839.49,1117.88,721.61,13.1,61,154.07,118.52,1316.95,1249.34,195.46,1715595.88,490.66,465.17,191.37,636.08,431.86,79.26,26.7,259.37,823.09,324.11,744.48,402.72,550.47,361.82,234.91,8457.83,8100.95,8783.17,4.95,3.51
Europe,TEAM VITALITY,32,14,43.75,1054.81,1.75,1.38,4.66,8.75,7.91,2,20,1272.16,156.68,7736.03,5308.44,2427.59,66.62,209.88,2014.59,1185.41,829.19,14.12,70.78,108.35,141.37,1203.97,1406.62,245.81,1661956.5,446.9,443.51,200.43,617.33,401.24,72.26,21.77,178.5,800.89,289.95,660.94,429.89,471.38,364.38,255.08,8545,8186.41,8881.31,3.5,3
North America,AKREW,23,10,43.48,1102.87,1.65,1.26,5.96,7.48,9.13,1.83,22.09,1248.57,142.15,7454.39,5070.09,2384.3,59.43,205.7,1692.43,1019.09,673.35,11.65,58.04,154.75,103.05,924.74,889.91,151.09,1585712.12,495.18,428.4,161.31,583.92,429.47,71.49,25.39,235.13,770,314.88,711.91,372.97,525.21,348.1,211.58,8578,8284.52,8851.96,3.13,3.7
Europe,ENDPOINT CEX,23,10,43.48,1186.48,1.78,1.35,6.43,7.26,9.57,2.04,24.55,1202.87,146.99,7512.3,5216.17,2296.13,62.7,200.17,1663.83,1019.35,644.48,12,55.78,138.14,123.44,918.22,1085.57,189.35,1630120.88,527.65,440.7,159.69,641.49,409.69,76.87,21.61,212.87,823.1,304.94,764.01,364.03,561.91,361.98,204.15,8696.22,8431.78,8946.78,3.3,2.87
Europe,BS+COMPETITION,21,9,42.86,1111.24,2.05,1.57,4.62,9,8.9,2.71,22.75,1187.81,142.54,7270.76,5035.29,2235.48,59.71,190.71,1500.95,914.9,586.05,10.33,49.05,143.86,120.77,755.29,961.29,119.76,1595813,509,442.76,152.77,618.19,410.8,75.54,22.3,187,770.49,334.04,731.88,372.64,532.22,365.96,206.35,8879.43,8630.05,9111.76,2.86,2.52
North America,GENTLEMEN,17,7,41.18,1199.18,1.82,1.24,6.65,6.94,10.59,2,26.27,1279.41,143.51,8459.82,5814.94,2644.88,67.18,224.71,1877.18,1151.06,726.12,12.88,62.53,161.41,88.74,1375.47,938.06,140.88,1780638.75,534.16,477.1,191.54,686.99,439.66,76.15,28.79,272.06,851.69,351.12,793.99,408.8,592.51,377.14,233.15,8364,7875.35,8807.76,4.88,3.41
Europe,GUILD ESPORTS,38,15,39.47,1106.79,1.92,1.5,5.13,8.11,8.24,2.05,23.7,1249.66,142.9,7435.13,5195.21,2239.92,62.26,192.82,1810.76,1101.18,709.58,12.87,59.5,137.18,113.6,971.5,1008.82,185.66,1536966.75,511.66,405.12,155.72,589.01,407.76,75.73,22.96,199.42,761.55,310.95,682.38,390.12,494.23,354.08,224.18,8516.47,8159.97,8858.16,3.66,3.16
Europe,GROS NOOBZ,16,6,37.5,1052.75,2,1.75,4.19,8.44,7.94,2.44,23.7,1193.44,147.13,6689.75,4655.38,2034.38,58.38,175.19,1503,902.81,600.19,11.06,50.94,99.18,116.09,956.25,1224.25,208.75,1482858.5,435.03,406.18,160.93,559.69,376.82,65.64,24.2,222.88,748.72,253.42,625.39,376.75,458.7,321.37,222.08,8813.25,8589.81,9012.69,3.06,3.06
North America,GHOST GAMING,35,13,37.14,1201.83,1.86,1.49,5.89,8,9.43,2.37,23.21,1280.26,149.85,8292.63,5778.31,2514.31,69.51,219.97,2006.29,1260.29,746,14.63,65.6,144.16,114.08,1243.26,1202.97,209.17,1724301,523.66,448.09,199.45,646.25,455.02,69.93,25.34,249.34,831.72,339.48,755.21,415.99,558.18,377.01,236.01,8470.14,8151.86,8765.06,4.26,3.4
North America,LUMINOSITY,44,16,36.36,1048.05,1.57,1.25,4.98,7.5,8.77,2.07,20.91,1222.43,148.02,7514.48,5161.86,2352.61,62.59,202.82,1750.93,1024.86,726.07,12.25,61.57,134.07,114.86,1076.61,1134.2,205.82,1618314.38,507.41,421.89,178.22,630.58,408.26,68.68,20.28,190.7,796.06,311.46,712.62,394.9,521.53,364.12,221.88,8423.55,8098.34,8712.23,3.73,3.57
Europe,HEET,33,12,36.36,1079.79,1.7,1.24,5.42,6.7,9.09,2,25.34,1198.15,153.62,6826.39,4593.94,2232.45,57.94,187.3,1510.94,906.82,604.12,11.03,51.27,99.21,127.06,884.03,1201.39,198.39,1484508.62,489.8,373.24,165.69,594.45,365.3,68.98,22.08,190.21,738.9,289.83,700.38,328.35,520.65,328.18,179.91,8567.94,8277,8837.73,5.36,2.36
North America,LIL STEP BROS,15,5,33.33,960.2,0.93,0.73,5.2,7.27,8,1.47,12.84,1184.27,152.14,7062.13,4867.47,2194.67,60,189.4,1511.6,921,590.6,10.87,52.4,128.39,124.46,865.93,1129,168,1556133.12,503.79,433.36,137.36,626.71,378.51,69.28,24,216.87,778.77,295.74,705.66,368.84,516.75,350.73,207.03,8845.67,8545.53,9136.93,2.2,3.33
Europe,ONE CHIP ARMY,14,4,28.57,955.14,1.21,0.86,4.71,6.36,7.93,2.14,19.1,1257.71,143.46,7504.5,4889.93,2614.57,59.21,224.64,1602.21,878.93,723.29,10.43,63.21,129.69,79.67,946.79,1057.29,162.79,1580493.75,503.4,427.65,155.75,621.81,400.87,64.12,34.41,295.79,764.82,321.98,722.83,363.97,529.36,360.15,197.3,8323.86,7911.21,8704.07,3.21,3.79
Europe,ZOOM ZOOM,12,3,25,1009.33,1.5,0.92,5.17,6.83,9.25,2.58,21.95,1197,141.44,7115.25,4843.58,2271.67,57.08,199.5,1613.08,984.67,628.42,12.08,55,130.39,89.06,870.83,843,213.58,1584208.5,497.76,418.81,166.8,581.88,427.74,73.73,26.86,252.5,755.8,327.57,699.32,384.04,510.9,352.42,220.04,8211.75,7812.5,8559.58,4.17,1.75
North America,FRAKTURE,11,2,18.18,956.73,1.09,0.82,4.91,6.91,9.09,2.91,15.79,1273.36,138.58,8057.45,5611.09,2446.36,65.55,211.55,1930.82,1160.09,770.73,13.27,66.45,174,92.86,1220,987.82,162.82,1713256.75,491.72,464.64,191.56,644.34,431.7,71.89,24.86,254.64,815.01,332.92,734.36,413.57,532.72,373.97,241.25,8696.18,8302.82,9057,2.55,4.36
North America,XSET,22,4,18.18,1015.41,1.18,0.91,5.27,7.23,9.27,2.45,16.35,1329.77,143.97,7990.32,5750.5,2239.82,69.18,192.36,1838.86,1194.18,644.68,13.73,54.32,137.5,113.22,1442.27,1194.86,181.77,1666524.75,451.86,438.79,205.61,638.1,394.24,63.92,26.77,272.73,780.77,315.5,727.43,368.83,537.3,347.9,211.06,8575.27,8148.45,8939.86,3.41,3.41
Europe,SK GAMING,11,2,18.18,1085.73,1,0.73,6.55,7,10.91,2.55,14.29,1242.45,144.15,7722.27,5289.55,2432.73,63.91,210.45,1767,1096.27,670.73,12.82,58.18,145.38,101.02,1144.55,1090.64,173.82,1689404.75,474.07,467.3,184.46,610.36,444.37,71.1,20.81,194.18,791.17,334.66,758.7,367.13,576.06,332.44,217.32,8557.82,8214.64,8862.73,4.36,3.73